154953	98412817	20929029571	@@##	----------	----------
154953	98412817	20929029572	@@98412817		FO
154953	98412817	20929029573	@2612817/		NN1_VV0
154953	98412817	20929029574	<p>		NULL
154953	98412817	20929029575	A	a	ZZ1_AT1
154953	98412817	20929029576	Kentucky	kentucky	NP1
154953	98412817	20929029577	appeals	appeal	VVZ@_NN2
154953	98412817	20929029578	court	court	NN1
154953	98412817	20929029579	has	have	VHZ
154953	98412817	20929029580	ruled	rule	VVN
154953	98412817	20929029581	that	that	CST
154953	98412817	20929029582	the	the	AT
154953	98412817	20929029583	government	government	NN1
154953	98412817	20929029584	can	can	VM
154953	98412817	20929029585	not	not	XX
154953	98412817	20929029586	force-		JJ_NN1
154953	98412817	20929029587	a	a	AT1
154953	98412817	20929029588	Christian	christian	JJ
154953	98412817	20929029589	printer	printer	NN1
154953	98412817	20929029590	to	to	II
154953	98412817	20929029591	make-		JJ_NN1
154953	98412817	20929029592	T-shirts	t-shirt	NN2
154953	98412817	20929029593	for	for	IF
154953	98412817	20929029594	a	a	AT1
154953	98412817	20929029595	gay	gay	JJ
154953	98412817	20929029596	pride	pride	NN1
154953	98412817	20929029597	event	event	NN1
154953	98412817	20929029598	after	after	II_CS
154953	98412817	20929029599	the	the	AT
154953	98412817	20929029600	government	government	NN1
154953	98412817	20929029601	previously	previously	RR
154953	98412817	20929029602	stepped	step	VVN_VVD
154953	98412817	20929029603	in	in	RP@_II
154953	98412817	20929029604	and	and	CC
154953	98412817	20929029605	punished	punish	VVN
154953	98412817	20929029606	the	the	AT
154953	98412817	20929029607	businessowner		NN1
154953	98412817	20929029608	for	for	IF
154953	98412817	20929029609	refusing	refuse	VVG
154953	98412817	20929029610	to	to	TO
154953	98412817	20929029611	do	do	VDI
154953	98412817	20929029612	so	so	RR
154953	98412817	20929029613	.	.	.
154953	98412817	20929029614	<p>		NULL
154953	98412817	20929029615	The	the	AT
154953	98412817	20929029616	Kentucky	kentucky	NP1
154953	98412817	20929029617	Court	court	NN1
154953	98412817	20929029618	of	of	IO
154953	98412817	20929029619	Appeals	appeal	NN2
154953	98412817	20929029620	ruled	rule	VVD_VVN
154953	98412817	20929029621	2-to-1	2-to-1	MC1
154953	98412817	20929029622	that-	that--	NN1_JJ
154953	98412817	20929029623	Blaine	blaine	NP1
154953	98412817	20929029624	Adamson	adamson	NP1
154953	98412817	20929029625	,	,	,
154953	98412817	20929029626	owner	owner	NN1
154953	98412817	20929029627	of	of	IO
154953	98412817	20929029628	Hands	hand	NN2
154953	98412817	20929029629	on	on	II
154953	98412817	20929029630	Originals	original	NN2
154953	98412817	20929029631	,	,	,
154953	98412817	20929029632	a	a	AT1
154953	98412817	20929029633	print	print	NN1
154953	98412817	20929029634	shop	shop	NN1
154953	98412817	20929029635	based	base	VVN
154953	98412817	20929029636	in	in	II
154953	98412817	20929029637	Lexington	lexington	NP1
154953	98412817	20929029638	,	,	,
154953	98412817	20929029639	Kentucky	kentucky	NP1
154953	98412817	20929029640	,	,	,
154953	98412817	20929029641	is-		JJ
154953	98412817	20929029642	correct	correct	JJ
154953	98412817	20929029643	in	in	II
154953	98412817	20929029644	his	his	APPGE
154953	98412817	20929029645	argument	argument	NN1
154953	98412817	20929029646	that	that	DD1
